overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
1,4.0,False,"02 1, 2013",A19I5KZQM3CA6W,B000W21ER4,{'Format:': ' MP3 Music'},Mr. Jeep,"I can remember owning this album when I was in high school, so even though I now cannot stand Weezer in the least bit (now being 26), it would be childish of me to say that their music did not mean anything to me at the time. After all, at a younger age, most people can only digest music that is so sophisticated, right?

To stay on topic with this album, I can now honestly say that I do not enjoy the music on this album by any means. The guitar work is just too simple for my liking, the drumming just bores me beyond grief, the lyrics are cheesy at best, and Rivers Cuomo's voice doesn't do anything for me either. If anything, I find him to be whiny. I know some of you might want to jump down my throat for saying this, but I do not find Weezer to be that much more impressive than the Jonas Brothers. Sorry, but that is truly the way I feel, and I am not to sort of man who is going to lie.

After gaining more of an ability to explore more music outside the mainstream as I got older, I stumbled upon A LOT more bands out there who are not nearly as mainstream as Weezer, but whose music truly speaks to me in terms of first-class virtuosity, be it vocally, instrumentally AND lyrically. Such is especially the case with bands like Stratovarius, Symphony X, Kamelot, Sonata Arctica, Meshuggah, Insomnium, Voyager, Life of Agony, Dark Tranquillity or Morbid Angel, to give but a few of so many examples. From my current perspective, those bands actually know how to be creative, complex, artistic and actually put a good deal of life into their music by means or utilizing their talents to the greatest extent possible, nor do they do it just for the purpose of gaining mass appeal.

On the flip side, however, I guess Weezer have proven to be good in their own ways, and when I was actually a fan of theirs when I was a teenager, I might not have been able to digest the sophistication and complexity of those other bands I mentioned, but that is not to say that some who enjoy this album can't appreciate more complex music. Heck, as little as 6 or 7 years ago, I would likely have given this album 4, or even 5 stars instead of 1. In fact, I would still have been DEFENDING this album back then, as crazy as that sounds. After becoming a major fan of those other bands, however, I cannot help but feel cheated by Weezer when I reflect back on this album and upon my former self. It is just that I have DEVELOPED AND EVOLVED past the point where I find myself able to get anything out of a band like Weezer when it comes to musical appreciation or stylistic approach. Some may argue that this album turned out to be exactly as Weezer themselves wanted it to be, and I will not disagree with that. But then again, that is an argument that could also be used AGAINST them in the sense that it suggests that, as musicians, they are not even TRYING to be as good as they can be, but rather just doing all they can to appeal to the masses. After all, I used to be a fan, so I WOULD know, and I DO get it. Bottom line: It just no longer does anything for me. Simple as that.

A MESSAGE TO WEEZER FANS (Please read the WHOLE THING before you post ANY comments!!!):

I have a RIGHT to criticize Weezer. I have a right to criticize them, just like I can criticize any other band out there, especially since I used to listen to them on a regular basis, per the title of this review. Likewise, others have the right to criticize the types of bands that I like, such as the ones I mentioned here in my review, but I would never put myself through the unnecessary stress of defending them. This DOES go both ways.

If you are going to comment on this review, please spare me of any comments such as ""You're just jealous!"" or ""I'd like to see you do better!"" or ""How is it in your parents' basement?"" or ""You must jerk off to your computer!"" These types of comments do not have anything to do with the matter at hand, and are just futile attempts to disarm me, and if anything, they prove to me that you cannot think of any effective ways to invalidate my opinion. It is from my experience that Weezer seem to be the type of band that can spawn rabid fans, much akin to Justin Bieber, Lil Wayne or Britney Spears. It also appears to be alarmingly common for many of these people to make these types of comments on negative reviews of anything that they love and adore, be it music, movies, books, etc. and will just not accept the fact that not everyone will like what they like in same manner as they do. Not only that, but they like to make childish assumptions about the lifestyle of whoever writes these reviews, based on the common belief that is perfectly summed up as follows:

""Anyone who doesn't like what I like, and who dares to say that they don't like it, must be a complete loser with no job, no life and still live with their parents!""

FYI: I have a college degree (from a HIGHLY prestigious university, no less), and a very successful career at one of the world's leading financial services institutions, at which I am highly respected by both peers and superiors alike. Not only that, but I am actually more successful than BOTH my parents. If anything, they need me more than the other way around. To top it off, I enjoy working out at the gym, taking care of my 60-gallon fish tank, and going to concerts to support the bands I like. To top it off, I am the proud owner of a 2011 Jeep Grand Cherokee!!! I am actually VERY HAPPY AND PRODUCTIVE WITH MY LIFE!!! Henceforth, the above-quoted theory that any rabid fans are liable to spew off has been utterly demolished. OWNED!

If you are one of those people who would say any of these things or make these kinds of childish and irrational assumptions, then here is my advice to you: Please learn some proper debating skills, get some help, or just learn to accept opinions! Once you have allowed this sort of venom to come spewing from your mouth, or, in this case, coming off your keyboard, then you have automatically lost the argument, and I automatically own you, hands down. Weezer are NOT above criticism, and neither is any other band out there. Bands and artists across all genres have to deal with criticism all the time. NOTHING that you say is EVER going to invalidate my opinion of them or deprive me (or anyone else) of the right to speak out against them. If you cannot accept my opinion of your saviors, then KINDLY LEAVE! Thank you.

To those of you who would call me ""pretentious"" or ""music snob"" or ""self-righteous"" or ""self-absorbed,"" you are truly pathetic. If you read my many positive reviews (which FAR outnumber my negative reviews, btw), you will quickly find out just how diverse of a taste I truly have. In particular, and in answer to those people who would say that there is nothing wrong with music that is ""simple,"" (and there isn't) it may do you some good to read the positive reviews I have done on the following albums:

""Devil's Night Out"" by The Mighty Mighty Bosstones
""Never Mind The Bollocks, Here's The Sex Pistols"" by The Sex Pistols
""The Essential Heart"" by Heart
""Highway To Hell"" by AC/DC
""Meat Is Murder"" by The Smiths
""The Strange Case Of..."" by Halestorm
""Greatest Hits"" by Tom Petty
""Complete Greatest Hits"" by The Cars
""Ugly"" by Life of Agony
""Remain In Light"" by Talking Heads

As far as music goes, what I have reviewed represents but a small fraction of what I have. My collection, of which this album used to be a part, consists of more than 1000 CDs, so that should tell you right away that I spend way more time enjoying what I like than I do criticizing what I do not like. OWNED AGAIN!

I also wish to point out that arguments such as ""Oh, but you can HEAR what they're singing!"" or ""You can actually sing along and/or dance to it!"" are simply NOT going to cut it. If you are going to defend Weezer, especially against a former fan such as myself, you are going to have to do better than that. Those comments still don't say anything about the actual artistic quality of the music itself, be it vocally, lyrically, instrumentally, etc. If you have something of a deeper, more substantial argument for me, I would be glad to take a challenge. ;)",I used to be a fan,1359676800,
1,,True,"05 6, 2014",A2KV0HN8F2BSZZ,B001KS99XA,{'Format:': ' MP3 Music'},Deadsolidperfect1992,"Please do not purchase this song. This is a horrible version and unfortunately I accidentally purchased it. The original by The Drifters is phenomenal. This, however, is awful.",Classic Song Horrible Cover,1399334400,
1,,True,"10 26, 2014",AXIK44R1SBLZW,B0013ASQA2,{'Format:': ' MP3 Music'},Hattie L. Irving,hate it,One Star,1414281600,
1,,True,"05 19, 2014",AHX3WF4PBV9D1,B00H5VZ4QW,{'Format:': ' MP3 Music'},Mr. Lsig,More like Deadbird... i did not like this at all. Free but bad. I don't like the group or the song and i don't think i know anyone else would like it.,Snowbird,1400457600,
1,,False,"05 14, 2010",A1W16J9R4DOBEC,B003AP683K,,Sherance Brothers,"this is a bad remake you have akon, lil wayne, and t pain in one song and they're all using autotune come on and oh yeah you got ll cool j, busta rhymes, and swizz beats rapping in it yes put these lame clowns in it make sure the kids dig it we'll add hip hop and autotune and put usher in it you know girls love usher add celine dion, and jennifer hudson you know she was on dreamgirls guess wyclef and lionel richie couldn't afford beyonce or was she and sasha fierce too high and mighty to participate or was she and her hubby jayhova god somewhere on the fake elysian fields pretending their zeus and hera. anyway pink's and I think miley cyrus in it withn the jonas brothers but still I prefer the old version and oh yeah for a special treat they added mj's vocals from the old 1 to make sure he didn't miss out yeah we really need this.",they are tryinfg to profit off michael since he died,1273795200,
1,,False,"07 28, 2014",A326WLRY0P9FBV,B00G72325A,{'Format:': ' MP3 Music'},divashalo,"To quote Avril Lavigne's response in regards to racism allegations...""LOLOLOL!!!"" This song is a frickin' joke. Her career is long over. Go away already.",PATHETIC GRAB FOR ATTENTION,1406505600,
1,,False,"06 7, 2013",AUDSM2CTLLW1Q,B00122Z5A0,{'Format:': ' MP3 Music'},Irish,"When Uncle Kracker decided to go solo after a long association with rap/rocker, Kid Rock, you would have expected some of the same edginess that characterized Rock's music.  Instead, ""Follow Me"" resulted.  This is a piece of soft-rock swill that belongs as a track on one of those laughable ""AM Gold"" albums that used to be sold in informercials late at night, instead of on the top of the pop/rock charts.

However, this sappy love song no doubt appealed to fans who are suckers for this type of music.  In addition, I think there was another group of fans who were wary of another Kid Rock-style singer and embraced Uncle Kracker when they realized exactly how soft his music was.

Really not a fan of this song and I change the radio whenever it comes on.",A complete misdirection and a terrible song,1370563200,
1,,True,"07 26, 2013",A2024JF3VOLJ6X,B000W18HWU,{'Format:': ' MP3 Music'},Mike,i don't listen to music because music sucks and i don't like it. music doent appeal to me at all,i,1374796800,
1,,True,"12 5, 2013",ATJXPN6W23ED0,B00BTQN0R4,{'Format:': ' MP3 Music'},Angela Samuel Jackson,"Great being able to buy old music via MP3, and the price was excellent.  Love the cloud player options for downloading purchased music to phone or computer.  However, I was disappointed because it wasn't the version they play on the radio.","Great being able to buy old music via MP3, and the price was excellent.  Love the cloud player options for downloading purchased",1386201600,
1,,True,"03 4, 2014",A32EZCRICSFPBC,B0046DU2J6,{'Format:': ' MP3 Music'},FrogLady,I don't like the song at all! Not my kind of music at all.  It was very disappointing to me.,Don't know how or why I got it?!?,1393891200,
1,,True,"03 18, 2018",A4V7FFTKI75YK,B005FXIC4I,{'Format:': ' MP3 Music'},ricky,Can not get it to download to my music very unique happy,One Star,1521331200,
1,,True,"12 16, 2015",A1JTRZ2D5IIULN,B00136LITC,{'Format:': ' MP3 Music'},Dennis B Smith,none,One Star,1450224000,
1,,True,"09 10, 2014",AAPOQVDM5ZTHB,B002NQTG5Y,{'Format:': ' MP3 Music'},Emily Anne,"I don't rem getting this, prob why I didn't like it",prob why I didn't like,1410307200,
1,,True,"07 8, 2016",A3KYQWXBYYB561,B002WXO9JG,{'Format:': ' MP3 Music'},Kiki Christensen,Not so good.,One Star,1467936000,
1,2.0,False,"03 6, 2015",A3BEZFDYU1KM6A,B00PHV7D7U,{'Format:': ' MP3 Music'},Brenda M. Johnson,No lyrics and the beat is whack. Come on... It's crap. I can't imagine listening to this songs 20 years from now. Not even 20 days from now. Really bad.,Don't,1425600000,
1,,True,"10 23, 2012",A2DVAT6T0JYEQZ,B0094N1CXI,{'Format:': ' MP3 Music'},J. Moyer,This is terrible! As my dad use to say: Just a bunch of noise. Deleted it quickly after downloading to use the space for better things.,A waste of space.,1350950400,
1,5.0,False,"08 4, 2010",A20DZX38KRBIT8,B003P976BE,{'Format:': ' Audio CD'},Deimos,Every song on this album sounds the same.  When the first song sucks and all the rest sound just like it.....you have an album that sucks.,Korn suck.,1280880000,
1,,True,"11 16, 2016",A1QE4KVT9T53YK,B00137OBZO,{'Format:': ' MP3 Music'},Amazon Customer,Stupid.,One Star,1479254400,
1,,True,"07 27, 2013",A2024JF3VOLJ6X,B004BSMB9U,{'Format:': ' MP3 Music'},Mike,music sucks because there is no real value to music. only thing about music is people get brainwashed. no mi,i,1374883200,
1,,True,"12 22, 2014",A1B19KI01MKA0N,B00MSA1XFQ,{'Format:': ' Audio CD'},xxxxxxx,"Sorry, Jerry Lee, time for you to hang it up",Jerry Lee Ain't What He Used to Be,1419206400,
1,2.0,False,"11 20, 2009",APO9LLUJ8MQ8N,B000VJ3BYC,{'Format:': ' Audio CD'},Mic M. &amp;amp;#34;Ears that HEAR!&amp;amp;#34;,"Well, having listened to this C.D.,I'm sorry to say this album is pure crap! Yes, I am a die hard Beatles fan, but I can't figure why anybody would like this recording. The instruments sound cheap,the drummer is woeful and the sound in parts sounds thin. I admit this is an early offering by the fab three and poor drummer, but parts of this are unlistenable. I heard my mates copy and wouldn't even bother to buy it myself. Very poor album.",Lost Decca Sessions,1258675200,
1,,False,"11 15, 2015",AYSK041A5VV89,B000VZFXEC,{'Format:': ' MP3 Music'},bratzlady,Disgusting song!,Lightning Crashes By Live,1447545600,
1,10.0,False,"08 15, 2013",A2GRZ0VL1JKCB1,B00EH49FRE,{'Format:': ' MP3 Music'},JokerBatman,"Katy Perry's ""Roar"" is nothing of a roar. It's more Simba's first attempt at roaring in ""The Lion King"" where he merely sounds like a child cat. Here are some of the main problems with this song...it is completely unoriginal, it one part it sounds like a complete rip off of the recent The Fray song you heard in the commercial for Bing...it rips lyrics directly from Queen's ""We Are The Champions"" and ""Eye of The Tiger"" by Survivor. To top that off the song is not sung well, Katy again proves she cannot sing on this track even with all the digital effects producers have added to try to hide this obvious fact. While it is leaps and bounds above the quality of her previous songs off her horrible album ""Teenage Dream"" it is not a good song overall. It is merely ok at best due to the fact that at least it is not filled with extremely immature sexual lyrics...the beat is ok but completely unoriginal and blends in with almost every other single song in the genre released currently.
With so much better songs to listen to, i.e. this is easily something that should be passed on. It is a very mindless songs where the lyrics are not put together because the songwriters thought they sounded cool together instead of actually making sense...
Just forgettable and nothing remarkable at all due to how uncreative the lyrics are and the fact of the poorly sung vocals on the track.","Unoriginal, Poor Vocals",1376524800,
1,,True,"01 5, 2013",A3QL8GXZP8O46M,B000ZMUV2K,{'Format:': ' MP3 Music'},Shawn,this one if you download than you are the first it will say its upload but its not i did this for my computer and my Iphone it took up a lot of time and it cuts in and out all the time.,sucks,1357344000,
1,,True,"01 29, 2014",A209NKYUI17LQG,B00122X5VG,{'Format:': ' MP3 Music'},Randy C.,"Not at all my type of music, so take my review from that Perspective. I do the occasional DJ party , and needed ( tripe like this to suit the younger crowd. Normally I wouldnt DARE, waste my money on this Juvenile, Pop, Garbage. But There MANY out there that Like it.",Good for waht it is..,1390953600,
1,,False,"03 15, 2014",A15JTJXQXO22JJ,B000VZSC8G,{'Format:': ' MP3 Music'},Chad Frey,"I can't figure out why this song was so popular in the first place?
Only thing I can tell you is stay away from this one. worst song in the 90's period.",Stay Away From This One,1394841600,
1,,True,"01 3, 2013",A3P138HZVN8JJG,B008QWPGUI,,James Maddison,Downloaded just fine.  Not sure what else to say about an mp3 purchase other than I didn't like the song and it works just fine.,Not a fan,1357171200,
1,,False,"03 4, 2008",A2KW2KWKABNYNO,B0011Z105C,{'Format:': ' MP3 Music'},Flap Jackson,"Rob Thomas is in the top 2 of greatest musical minds today, and with Matchbox 20 he crafted excellent songs, and some of the best melodies and lyrics the world has seen. However, for reasons still escaping me, he went solo, and this song defines his solo work thus far. Now from what I've said so far, you might say, this must be an awesome song, right? Wrong. The problem with the majority of Thomas' solo work is that the music has the ability to soar, the potential, the need and the want to soar, but like a Penguin, it stays on the ground. How this could be, I don't know. Without the song taking off, it ends up a boring lazy mess, that is topped with a chorus that could have been a whole lot better.

Overall, not a great song to say the least. It's radio-friendly (which I cringe to hear it everytime it comes on), it's poorly done, and most of all, it's just flat-out boring. Sorry Rob, you've done better. A whole lot better.",Rob Thomas' Solo Definer,1204588800,
1,,False,"05 8, 2016",A31N9WJ1W1HB0K,B01EQH2YEM,{'Format:': ' MP3 Music'},Ben P.,"I don't know... is she singing?  Is she rapping?  Or more like talking with repetitive folk music in the background. Not real music, in my opinion. But, it's ""Beyonce""... so it don't matter, right?",Or more like talking with repetitive folk music in the background,1462665600,
1,,True,"09 28, 2014",A1Q9TM90LF61CU,B005BYURNU,{'Format:': ' MP3 Music'},Cheri,ex husband hacked into account and ordered them. No idea how it is working.,One Star,1411862400,
1,,True,"12 14, 2014",A23GI9VA8A2KEK,B000TDYS9C,{'Format:': ' MP3 Music'},teresa,i didn't purchase this,One Star,1418515200,
1,,True,"04 1, 2016",ADFXJSLJGN6EN,B004B3J6MA,{'Format:': ' MP3 Music'},MusicFreak,"Generic, derivative, repetitive, boring. In other words, typical reggaeton.",*YAWN*,1459468800,
1,,True,"01 31, 2017",ACHLNTQQZEVM9,B001224ZRY,{'Format:': ' MP3 Music'},Sidney S. Terrell,downloaded for a friend... not my thing,One Star,1485820800,
1,,False,"08 19, 2003",AYCOHV27P91NM,B000V6ADNW,,BIOHAZARD,"it seems like every day has been ""shorties"" birthday ever since the song ""in da club"" was released. i hate 50 cent. i hate rap music. People these days will like anything that is on the joke now known as MTV. i could go on mtv with a bandana on my head and an apple in my hand and rap about the food chain, and my albums would sell millions of copies. do not by this garbage.",not even worth a penny.,1061251200,
1,,True,"07 22, 2017",A3B6WE3ZXCLN4E,B01H7XAFSO,{'Format:': ' MP3 Music'},linda,This is ordered by mistake-was not what I wanted!,One Star,1500681600,
1,3.0,False,"04 28, 2016",A1V5RCP1IPJIU5,B01BZNGQF8,{'Format:': ' MP3 Music'},Hammer-Y,"Yup. It's JUNK. Like all smart people know. He's run out of ideas. Not a true lone artist. Needs help. Need to bring in a partner again and go back to what made M83 amazing in the first place. No need for singing. No need for pretentious self-indulgent live shows. This new high-pitched elevator music crap trying to be trendy is so tired and boring. And no, Anthony, you can't sing, so stop trying, stop pretending. Go back to smart, coordinated effects-laden atmospheric synth and call it a day. This one is as unlistenable as the last two. I'll go back to the first 3 albums and enjoy those instead.  You lost",Yup. It's JUNK,1461801600,
1,,True,"06 29, 2015",AFFN9EYOUL4LV,B005BYURRQ,{'Format:': ' MP3 Music'},R. Burris,Eh,One Star,1435536000,
1,,False,"05 23, 2018",A3DOV8HA19QR08,B001O7SVLI,{'Format:': ' MP3 Music'},Ted H.,"I couldn't disagree more with the previous reviewer. This sounds like a remake and it's a slower tempo. It does have the ""brilliance"" that the original had. I used ""brilliance"" NOT as brilliant but as in the audio term. The original has a rich sound that pops from the speaker where as this version sounds like a wedding band's cover. Of course this is merely how I hear it.",Maybe it's Adam Sandler's band from The Wedding Singer's cover of the A-Ha classic,1527033600,
1,,True,"07 7, 2016",AAUMLXHKKZNBT,B0038E3YVW,{'Format:': ' MP3 Music'},IVAN ROY,"WITH JESUS I HAVE ONE EVERY BATTLE, NOT A WINNER!!!!!",UN REVIVE,1467849600,
1,,True,"05 1, 2014",A3GUICSN92RH42,B000W1Q010,{'Format:': ' MP3 Music'},Albert Pugliese,This would have been a GREAT song if this idiot didn't overstep the bounds of decency and have the unmitigated GALL to mention the name of Jesus in this song in such a horrible manner. This was completely unnecessary and completely ruins what would otherwise be a really hot song. Makes you wonder why someone talented enough to record this can be so callus and stupid as to WAY overstep the bounds of decency.,He RUINED it!,1398902400,
1,,False,"02 15, 2015",A3W4D8XOGLWUN5,B00SKQ0JB6,{'Format:': ' MP3 Music'},Michael Kerner,"When it has came down to Nicki MInaj, she honestly has been more like a joke with her music, than taking her music t the next level. The songs that she had compiled for her album, The Pink Print have simply been more less of her persona, more of other rappers and entertainers, and sadly it has absolutely been a complete waste of time overall. Her latest collaboration which isn't enough of her, but mostly all of Drake isn't worth it. Truffle Butter isn't exactly one of her better songs. It overall shows Nicki has lost her voice and instead made a so-called A-List rapper into an absolute joke. I think the song is absolutely not only worth its money, but shows she honestly has run out of good songs to mix her own voice. Truffle Butter is absolutely not only a waste of time, but a song worth passing up. For someone who did Starships as a hit, she now has to find herself again.

Song: F

4,700th Review!!!!!!!!!!!!!",Truffled,1423958400,
1,,True,"08 1, 2015",A32DNOBL3TQ8XD,B00136JL8W,{'Format:': ' MP3 Music'},Kevin,song was great BUT Amazon does NOT let you download the MP3 more than once. So IF you happen to delete it or LOSE it like I did by aaccident. You are screwed. Will not buy MP3 from amazon again. IF YOUR gonna download this song do it but not from AMAZON.,you get one download. After that you pay again.,1438387200,
1,,False,"02 17, 2008",A1A2AZP3H15UZ2,B0013D6O6M,,C. Shaeffer,"Evidently the title ""Simple Plan"" refers to a theory that if you rip off another band's hits, you will sell more records. I really don't know where to start with this one. This band rips off every band from U2 to Green Day to The Killers, and manages to sound overproduced with a total lack of energy, with the exception of ONE pop-punk track, ""Time To Say Goodbye."" It was said that during the three-plus years that passed between albums, that the group's singer/songriter Ryan Bouvier had writer's block. This becomes all the more apparent because Britney Spears' songwriting team was brought in to write several songs, making Simple Plan sound like a boy band. Even when they try to rock out, the production is so overdone that the guitars seem distorted and out of place. And there are WAY too many piano-ballads. I think any trace of the faux-punk label they were slapped with after their first two albums, which were decent efforts packed with pop-punk hooks, can permanently be removed now. Simple Plan will spend the rest of their lives wondering if it was the three-plus year layoff between albums or the change of sound/style on this new one that killed their career. And the answer is neither. It is the lack of originality, energy, and songcraft that will do them in. Lets face it, when Hilary Duff rocks harder than you, your band is not ""punk."" And in the three and a half years this band was away, the scene changed, but their fan base remained intact and they should have stayed a little closer to home on this release rather than go running off into what the band calls ""unchartered musical territory."" Perhaps ""UnCHARTED"" musical territory is more like it. This one is headed to a bargain bin near you, right next to all those old LFO albums.",A Greatest Hits of Ripoff Songs,1203206400,
1,,True,"11 22, 2012",A22UEGDX65VTZZ,B002HP8EKE,{'Format:': ' MP3 Music'},mlp,I got this song because it was free and I am not a fan of it.  Not worth spending money on.,it was free,1353542400,
1,,False,"03 13, 2007",A1G2T0T5COZOC0,B0013AUUWE,,Micaloneus,"If you are a fan of those great early Partridge Family albums, then you owe it to yourself to get these, the 1993 Razor & Tie versions and not the recent re-masters of 2000 and 2003. Why? Razor & Tie did not tamper with the sound quality, as a result, Razor & Tie CD's sound like the records you remember. I made the mistake of buying the re-masters thinking they would sound even greater; NOT!",Great album...get the Razor & Tie version,1173744000,
1,,True,"02 28, 2013",A3K7ZIE46XSC8E,B002HP8EKE,{'Format:': ' MP3 Music'},SANDRA SULLIVAN-JORDAN,"i didn't care for it , sorry differeance strokes for differences folks . my likes someone else dislikes . sorry",not my cup of tea,1362009600,
1,,True,"07 27, 2013",A2024JF3VOLJ6X,B0013DC9IY,{'Format:': ' MP3 Music'},Mike,there is no need to listen to music at all. it is pure garbage nowadays and there is no ne,i,1374883200,
1,,False,"10 25, 2001",A3OLZXHFGUAMWW,B001F3FZVK,,Sherance M. Brothers,pitiful attempt cher techno or whatever you're trying to do is not your thing baby.,cher why did you comer back,1003968000,
1,7.0,False,"09 25, 2014",A3W4D8XOGLWUN5,B00NRBH04I,{'Format:': ' MP3 Music'},Michael Kerner,"When it has came down to Jennifer Lopez, she honestly has one of the worst albums that has came out in 2014. Her album A.K.A. has honestly failed to impress not just in music, but sadly going very low in her voice and her heart. She really does not have the drive, within the way she used to, when she came out with On The 6 fifteen years ago. Her song Booty has to honestly one of the worst songs that she has came out with altogether. She and Iggy Azalea really do not have any chemistry whatsoever. It definitely is a low point in Jennifer worse than any of the songs that she has put out in years. This song is just as terrible as the case was with I Luv Ya Papi. If you really wish that Jennifer should've found better in her work, you are not alone. This song is not even worth the time, and the effort. It is time for Jennifer Lopez to retire!! This song is not even worth downloading and the money she recorded to make it.

Song: F",Booty This????,1411603200,
1,,True,"06 14, 2016",A22ELGYX87SG0,B000V2A5IE,,Kj Howard,Not the full version.,Short Version,1465862400,
1,,True,"01 10, 2015",AZAW12EWF3O6G,B00C6MPV4U,{'Format:': ' MP3 Music'},RVMY,Not worth the price: this digital download was free!,Not It,1420848000,
1,,True,"02 7, 2017",A3S8PVEQGUSU50,B00CRMX53S,{'Format:': ' MP3 Music'},Woodwind,Only got this for a friend.,One Star,1486425600,
1,,False,"06 16, 2012",A15JTJXQXO22JJ,B00SYTMDS6,{'Format:': ' MP3 Music'},Chad Frey,"This is not music , its a cry for help.
Oh my gosh this is awful. not worth 1 star.",Anyone Getting Tired Of This ?,1339804800,
1,2.0,False,"08 8, 2015",A326WLRY0P9FBV,B00SZQ487M,{'Format:': ' MP3 Music'},divashalo,"Using a deceased soul legend's name for your teeny bopper song is distasteful at best. I highly doubt Gaye's estate agreed to this...I mean if they took issue with Thicke and Pharrell's (rather liberal) sample of his song/melodies on Blurred Lines, I'm pretty sure they would not be ok with these two nobodies exploiting Gaye's name for commercial gain.",Disgrace to Marvin's Legacy,1438992000,
1,,True,"05 23, 2015",AC4MD6BXOG2JS,B00137OBNQ,{'Format:': ' MP3 Music'},Stephanie Boyce,Bought for a client. Not my taste,One Star,1432339200,
1,3.0,True,"12 19, 2009",A8YOGQ4P4JUMO,B002R4K6AG,{'Format:': ' Audio CD'},P. Shelling,"I've listened to this three times now, and I'm still scratching my head asking ''why?"" Never the prettiest voice, Dylan now sounds like Louis Armstrong with a cold. The polka (!) 'Must Be Santa' is kind of fun, but is unfortunately the best thing on this poorly produced disc. Am I being too hard on the RnR Hall of Fame legend? Well let's just say: I can't think for you-you'll just have to decide. *",Not the best release of 2009,1261180800,
1,,True,"05 20, 2016",AAUMLXHKKZNBT,B00136LQC6,{'Format:': ' MP3 Music'},IVAN ROY,The only solid foundation with you!!!,Jesus is the Rock,1463702400,
1,,True,"08 6, 2015",A7DY3FGHF4I7C,B00XDI17J4,{'Format:': ' MP3 Music'},Joyce D. Pratt,Bad language,One Star,1438819200,
1,,True,"12 8, 2013",A1I33VSM5I6YJ4,B001KV4OXM,,StrawberryPinch,"I got a lot of songs off of Amazon that were free and I didn't like any of them, including this song.  I guess it was worth the price.",Awful,1386460800,
